                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1782,                 4.9057,                 1.9238,                0.21139,                0.48585,                0.23899,                0.12428,                 1.5827,                 2.2674,                 1.4642,               0.003322,               0.003322,               0.003322
                      2,                 1.4194,                 2.1471,                 1.3223,                0.41354,                0.75874,                0.49308,                0.33936,                 1.1084,                 1.4546,                 1.1816,              0.0065894,              0.0065894,              0.0065894
                      3,                 1.3627,                 1.9121,                 1.2921,                0.33232,                0.68197,                0.35523,                0.22777,                 1.2135,                 1.8006,                  1.263,              0.0097909,              0.0097909,              0.0097909
                      4,                 1.3285,                 1.8917,                 1.2736,                0.40595,                0.63763,                0.44282,                 0.2957,                  1.223,                 1.6472,                 1.2736,               0.009703,               0.009703,               0.009703
                      5,                  1.229,                 1.7151,                 1.2121,                0.41536,                0.80893,                0.48924,                 0.3499,                  1.021,                 1.4024,                 1.1456,               0.009604,               0.009604,               0.009604
                      6,                 1.1563,                 1.5877,                 1.1787,                0.44038,                0.83534,                0.48031,                 0.3516,                0.96502,                 1.2536,                 1.1042,               0.009505,               0.009505,               0.009505
                      7,                 1.1013,                 1.4857,                 1.1471,                0.43662,                0.84721,                0.50996,                0.38249,                0.91648,                 1.2455,                 1.0834,               0.009406,               0.009406,               0.009406
                      8,                 1.0752,                 1.4864,                 1.1342,                 0.4588,                0.85918,                0.55909,                0.42034,                0.94872,                 1.1661,                 1.0814,               0.009307,               0.009307,               0.009307
                      9,                  1.053,                 1.4111,                 1.1103,                0.46474,                0.88836,                0.58693,                0.44997,                0.86129,                 1.0966,                  1.043,               0.009208,               0.009208,               0.009208
                     10,                 1.0374,                 1.4239,                 1.1099,                 0.4901,                0.90731,                0.57976,                0.45274,                0.81861,                 1.0336,                 1.0227,               0.009109,               0.009109,               0.009109
                     11,                0.99332,                 1.3702,                 1.0858,                0.46903,                0.92101,                0.54233,                 0.4215,                0.82675,                 1.0806,                 1.0172,                0.00901,                0.00901,                0.00901
                     12,                0.97243,                 1.3312,                 1.0799,                0.53854,                0.84948,                0.71778,                0.57057,                0.81514,                0.94696,                 1.0189,               0.008911,               0.008911,               0.008911
                     13,                0.97376,                 1.3123,                 1.0739,                0.48078,                0.93953,                0.58161,                0.45858,                0.78741,                  1.019,                  1.007,               0.008812,               0.008812,               0.008812
                     14,                0.93695,                 1.2842,                 1.0596,                0.48638,                0.93179,                0.58803,                 0.4697,                0.77589,                0.99116,                0.99869,               0.008713,               0.008713,               0.008713
                     15,                0.92416,                 1.2677,                 1.0513,                0.49008,                0.93895,                0.63999,                0.51324,                0.76156,                0.96006,                0.99344,               0.008614,               0.008614,               0.008614
                     16,                0.92695,                 1.2597,                 1.0538,                0.47798,                0.94583,                0.51048,                0.40923,                0.76142,                 1.0262,                 0.9886,               0.008515,               0.008515,               0.008515
                     17,                0.91581,                  1.257,                 1.0463,                0.48578,                0.94858,                0.60969,                0.49713,                0.73973,                0.95589,                 0.9752,               0.008416,               0.008416,               0.008416
                     18,                0.90415,                 1.2403,                  1.047,                0.51523,                0.85847,                0.72486,                0.58694,                0.75022,                0.91893,                0.98125,               0.008317,               0.008317,               0.008317
                     19,                0.89477,                 1.2306,                 1.0354,                0.51186,                0.88962,                0.71971,                0.58487,                0.73613,                0.91835,                 0.9793,               0.008218,               0.008218,               0.008218
                     20,                0.88881,                 1.2403,                 1.0336,                0.57408,                0.83003,                0.75485,                0.61836,                0.72508,                0.87112,                0.96894,               0.008119,               0.008119,               0.008119
                     21,                0.86554,                 1.1964,                 1.0244,                0.48355,                0.96827,                 0.5106,                0.41554,                0.72255,                0.97653,                0.97274,                0.00802,                0.00802,                0.00802
                     22,                0.86377,                 1.2142,                  1.026,                0.49337,                0.95704,                0.57624,                0.47421,                0.71051,                0.94382,                0.96804,               0.007921,               0.007921,               0.007921
                     23,                 0.8639,                  1.185,                 1.0201,                0.48905,                0.96517,                0.64328,                0.53337,                 0.6994,                0.90732,                0.96026,               0.007822,               0.007822,               0.007822
                     24,                0.86198,                 1.2082,                 1.0231,                0.49203,                0.96626,                0.53673,                0.44292,                0.68848,                0.94013,                0.95704,               0.007723,               0.007723,               0.007723
                     25,                0.85629,                  1.188,                 1.0219,                0.49449,                 0.9604,                0.59397,                0.48929,                0.69466,                 0.9102,                0.95418,               0.007624,               0.007624,               0.007624
                     26,                0.84751,                 1.1768,                 1.0008,                0.49093,                0.96906,                0.58286,                0.48398,                0.68183,                0.89612,                0.95071,               0.007525,               0.007525,               0.007525
                     27,                0.83858,                 1.1829,                 1.0174,                0.49406,                0.95928,                0.61465,                0.50692,                0.67895,                0.90215,                0.95478,               0.007426,               0.007426,               0.007426
                     28,                0.82595,                 1.1683,                 1.0065,                0.53652,                0.87573,                0.73829,                0.61182,                0.67452,                0.85393,                0.94436,               0.007327,               0.007327,               0.007327
                     29,                0.81148,                  1.162,                0.99564,                0.49398,                0.96907,                0.61741,                0.51368,                0.66842,                0.89284,                0.94816,               0.007228,               0.007228,               0.007228
                     30,                0.81285,                 1.1521,                0.99858,                 0.4906,                0.97131,                 0.5472,                0.45623,                0.66945,                0.90198,                0.94464,               0.007129,               0.007129,               0.007129
                     31,                0.83152,                 1.1605,                 1.0101,                0.48893,                0.97467,                0.53539,                0.44724,                  0.666,                0.93796,                0.94572,                0.00703,                0.00703,                0.00703
                     32,                0.80762,                 1.1534,                0.99942,                0.48982,                0.98093,                0.53806,                0.45193,                0.66182,                 0.9205,                0.94811,               0.006931,               0.006931,               0.006931
                     33,                0.81628,                 1.1516,                 1.0137,                0.49272,                0.97664,                0.57614,                0.48552,                0.65013,                  0.885,                0.93983,               0.006832,               0.006832,               0.006832
                     34,                0.80941,                 1.1533,                0.98807,                 0.4939,                0.97521,                  0.643,                0.54049,                0.65273,                 0.8681,                0.93854,               0.006733,               0.006733,               0.006733
                     35,                0.79887,                 1.1423,                0.99601,                 0.4926,                0.97691,                0.57021,                0.48068,                0.65632,                0.89384,                0.93969,               0.006634,               0.006634,               0.006634
                     36,                0.79368,                 1.1324,                 0.9947,                0.49305,                0.97946,                0.57789,                0.48467,                0.65016,                0.88283,                0.93401,               0.006535,               0.006535,               0.006535
                     37,                0.78643,                 1.1252,                0.98703,                0.49283,                0.97685,                0.60827,                0.51131,                0.65009,                0.87062,                0.93475,               0.006436,               0.006436,               0.006436
                     38,                0.79449,                 1.1231,                0.98715,                0.49095,                0.97587,                0.58681,                0.49929,                0.64242,                0.87055,                0.93378,               0.006337,               0.006337,               0.006337
                     39,                0.79297,                 1.1233,                0.99016,                0.49432,                0.97757,                0.55611,                0.47055,                0.63954,                0.87821,                 0.9304,               0.006238,               0.006238,               0.006238
                     40,                0.78404,                 1.1086,                0.98331,                0.49813,                0.97082,                0.61138,                0.51597,                0.63654,                0.85569,                0.93503,               0.006139,               0.006139,               0.006139
                     41,                0.78223,                 1.1074,                0.98743,                0.50242,                 0.9645,                0.57751,                0.48751,                0.63606,                0.86183,                0.92993,                0.00604,                0.00604,                0.00604
                     42,                0.76345,                  1.085,                0.97716,                0.49463,                 0.9755,                0.59832,                0.50518,                0.63228,                 0.8657,                0.93487,               0.005941,               0.005941,               0.005941
                     43,                0.76709,                 1.0991,                0.97926,                0.49867,                0.96611,                0.64552,                0.54647,                 0.6358,                0.84268,                0.93217,               0.005842,               0.005842,               0.005842
                     44,                 0.7678,                  1.094,                0.98357,                0.63749,                0.84604,                0.78566,                0.66436,                0.63411,                0.77906,                0.93164,               0.005743,               0.005743,               0.005743
                     45,                0.74543,                  1.078,                0.97236,                 0.4966,                0.97939,                0.63765,                0.54199,                0.63537,                0.83854,                0.93313,               0.005644,               0.005644,               0.005644
                     46,                0.75666,                 1.0792,                0.97019,                0.49584,                0.97434,                0.56674,                0.48005,                0.62805,                0.85986,                0.92906,               0.005545,               0.005545,               0.005545
                     47,                0.75142,                 1.0897,                0.97244,                0.50332,                0.96023,                0.65166,                0.55229,                0.62784,                0.83141,                0.93229,               0.005446,               0.005446,               0.005446
                     48,                0.75082,                 1.0837,                0.97302,                0.49617,                0.97453,                0.62061,                0.52819,                0.62698,                0.84396,                0.93308,               0.005347,               0.005347,               0.005347
                     49,                0.74008,                 1.0844,                0.97152,                0.49504,                0.97987,                0.61036,                0.52078,                0.62473,                0.84262,                0.93145,               0.005248,               0.005248,               0.005248
                     50,                0.75329,                  1.072,                0.97577,                0.49758,                0.97261,                 0.5977,                0.51044,                0.62027,                0.83258,                0.92465,               0.005149,               0.005149,               0.005149
                     51,                0.73515,                 1.0542,                0.96313,                0.50151,                0.96648,                0.58153,                0.49579,                0.62161,                0.85051,                0.92426,                0.00505,                0.00505,                0.00505
                     52,                0.74192,                 1.0695,                0.97627,                 0.5068,                0.96142,                0.62259,                0.53017,                0.61985,                0.82655,                 0.9271,               0.004951,               0.004951,               0.004951
                     53,                 0.7379,                 1.0698,                0.97576,                0.49847,                0.97328,                0.60254,                0.51253,                 0.6208,                0.84372,                0.92992,               0.004852,               0.004852,               0.004852
                     54,                0.72224,                 1.0576,                0.96582,                0.49263,                0.98221,                0.56485,                0.48224,                0.61629,                0.86857,                0.92972,               0.004753,               0.004753,               0.004753
                     55,                 0.7294,                 1.0488,                0.96603,                0.49977,                0.97365,                0.59923,                0.51152,                0.61828,                0.83835,                0.92817,               0.004654,               0.004654,               0.004654
                     56,                0.72642,                 1.0411,                0.96452,                0.50447,                0.96265,                0.62158,                0.53155,                0.61655,                0.82752,                0.92799,               0.004555,               0.004555,               0.004555
                     57,                0.70868,                 1.0488,                0.95598,                0.50342,                0.96759,                0.63472,                0.54382,                0.61537,                0.82702,                0.92795,               0.004456,               0.004456,               0.004456
                     58,                0.70495,                  1.012,                0.95798,                0.49846,                0.96985,                0.61267,                  0.527,                0.61293,                0.83601,                0.92769,               0.004357,               0.004357,               0.004357
                     59,                0.71512,                 1.0274,                0.95542,                0.50049,                0.97156,                0.63197,                0.54183,                0.61192,                0.82119,                0.92507,               0.004258,               0.004258,               0.004258
                     60,                0.71322,                 1.0434,                0.95682,                0.50534,                 0.9719,                 0.6091,                0.52258,                0.61242,                0.83324,                0.92839,               0.004159,               0.004159,               0.004159
                     61,                0.71747,                  1.031,                0.96115,                0.50182,                0.97288,                  0.614,                0.52674,                 0.6115,                0.83353,                0.92496,                0.00406,                0.00406,                0.00406
                     62,                0.71332,                 1.0192,                0.95606,                0.50869,                0.95654,                0.61522,                0.52663,                0.61138,                0.83185,                0.92721,               0.003961,               0.003961,               0.003961
                     63,                0.70829,                0.99676,                0.95166,                0.50474,                0.96335,                0.61901,                0.53003,                0.61024,                0.83561,                0.92784,               0.003862,               0.003862,               0.003862
                     64,                0.68722,                0.99434,                0.94399,                0.50476,                0.96321,                0.61816,                0.53093,                0.60908,                0.83262,                0.92809,               0.003763,               0.003763,               0.003763
                     65,                 0.6917,                  1.001,                0.95205,                0.50664,                0.96641,                0.61777,                0.52992,                0.61083,                0.83156,                0.92861,               0.003664,               0.003664,               0.003664
                     66,                0.67607,                0.97456,                0.94426,                0.50464,                 0.9655,                0.61841,                0.52918,                0.61039,                0.83393,                0.92672,               0.003565,               0.003565,               0.003565
                     67,                  0.688,                0.97599,                 0.9449,                0.50478,                0.96037,                0.61303,                0.52615,                0.60876,                0.83935,                0.92882,               0.003466,               0.003466,               0.003466
                     68,                0.68383,                0.98212,                0.95063,                  0.502,                0.96398,                0.60334,                0.51731,                0.61081,                0.85428,                0.92784,               0.003367,               0.003367,               0.003367
                     69,                0.68541,                0.98126,                0.95097,                0.50658,                0.95021,                0.61247,                 0.5257,                0.60973,                0.84651,                0.92685,               0.003268,               0.003268,               0.003268
                     70,                0.68977,                0.95785,                0.94993,                0.52038,                0.92725,                0.62913,                0.53968,                0.60685,                0.82964,                0.92717,               0.003169,               0.003169,               0.003169
                     71,                0.68712,                0.95804,                0.94463,                0.51964,                0.92199,                0.61642,                0.52918,                0.60725,                0.84442,                0.92875,                0.00307,                0.00307,                0.00307
                     72,                0.67133,                0.95463,                0.94795,                0.52393,                0.91466,                0.61693,                0.52889,                0.60635,                0.84706,                0.92747,               0.002971,               0.002971,               0.002971
                     73,                0.68335,                0.96753,                0.95553,                0.52148,                0.91678,                0.62065,                0.53264,                0.60708,                 0.8521,                0.92688,               0.002872,               0.002872,               0.002872
                     74,                0.67314,                0.94096,                0.94296,                0.52127,                0.91893,                0.62227,                 0.5338,                 0.6084,                0.85576,                0.92843,               0.002773,               0.002773,               0.002773
                     75,                 0.6609,                0.93514,                0.94435,                 0.5232,                0.91779,                0.62567,                0.53678,                 0.6082,                0.86245,                0.92891,               0.002674,               0.002674,               0.002674
                     76,                0.66122,                0.92098,                0.94166,                0.52024,                0.92679,                0.63013,                0.54139,                 0.6079,                0.86752,                0.92823,               0.002575,               0.002575,               0.002575
                     77,                0.67471,                0.91399,                0.94559,                0.52239,                0.92342,                0.63184,                0.54183,                 0.6076,                0.87158,                0.92772,               0.002476,               0.002476,               0.002476
                     78,                0.64458,                0.88267,                0.93238,                0.51729,                 0.9379,                0.63148,                0.54125,                0.60807,                0.88092,                 0.9288,               0.002377,               0.002377,               0.002377
                     79,                0.65691,                0.88031,                0.94011,                0.51638,                0.92515,                0.63446,                0.54455,                0.60938,                0.88227,                0.93001,               0.002278,               0.002278,               0.002278
                     80,                0.65062,                0.87742,                0.93619,                0.51879,                0.92403,                0.63633,                0.54604,                0.60969,                 0.8862,                0.93058,               0.002179,               0.002179,               0.002179
                     81,                 0.6428,                0.86212,                0.93283,                 0.5187,                0.92432,                0.63164,                0.54202,                0.60922,                0.89794,                0.93092,                0.00208,                0.00208,                0.00208
                     82,                0.63647,                0.84364,                0.92897,                0.51832,                0.92141,                0.63136,                0.54239,                0.60968,                0.90487,                0.93192,               0.001981,               0.001981,               0.001981
                     83,                0.64931,                0.83675,                 0.9362,                0.51774,                 0.9165,                 0.6278,                0.53906,                0.60968,                0.91895,                0.93219,               0.001882,               0.001882,               0.001882
                     84,                0.63816,                0.83158,                 0.9263,                0.51988,                0.91443,                0.63299,                0.54338,                0.60945,                0.91996,                0.93217,               0.001783,               0.001783,               0.001783
                     85,                0.64971,                 0.8316,                0.93841,                0.51931,                0.91641,                0.63544,                0.54571,                0.60998,                0.92549,                0.93242,               0.001684,               0.001684,               0.001684
                     86,                0.63499,                0.82074,                0.93498,                0.52339,                0.91305,                 0.6414,                0.55058,                0.61058,                0.92228,                0.93234,               0.001585,               0.001585,               0.001585
                     87,                0.64602,                0.81999,                 0.9364,                0.52505,                0.90521,                0.64378,                0.55221,                0.61066,                0.92598,                0.93264,               0.001486,               0.001486,               0.001486
                     88,                0.62357,                0.80025,                0.92678,                0.52513,                0.91013,                 0.6444,                0.55344,                0.61027,                0.92791,                0.93269,               0.001387,               0.001387,               0.001387
                     89,                0.63108,                0.78628,                  0.924,                0.52418,                0.91581,                0.64312,                0.55273,                0.60991,                0.93462,                 0.9329,               0.001288,               0.001288,               0.001288
                     90,                0.62782,                 0.7653,                0.92904,                0.52303,                0.91619,                0.64273,                 0.5527,                0.61013,                0.94038,                0.93285,               0.001189,               0.001189,               0.001189
                     91,                0.51655,                 0.5559,                0.87296,                0.52503,                0.91439,                0.64514,                0.55407,                0.61032,                0.94322,                0.93337,                0.00109,                0.00109,                0.00109
                     92,                0.50792,                0.52443,                0.86959,                0.52391,                0.90933,                0.64142,                0.55101,                0.61064,                0.95538,                0.93406,               0.000991,               0.000991,               0.000991
                     93,                0.50313,                0.52424,                0.86781,                0.52593,                0.89903,                0.63898,                0.54885,                0.61083,                 0.9667,                0.93457,               0.000892,               0.000892,               0.000892
                     94,                0.49002,                0.50247,                0.86257,                0.52875,                0.89042,                0.63881,                0.54922,                0.61108,                0.97543,                0.93504,               0.000793,               0.000793,               0.000793
                     95,                0.49427,                0.48463,                0.86016,                0.53015,                0.88519,                0.63825,                0.54886,                0.61182,                0.98331,                0.93568,               0.000694,               0.000694,               0.000694
                     96,                0.49573,                0.48253,                0.86412,                0.53139,                 0.8816,                0.63697,                0.54786,                0.61222,                0.99512,                0.93617,               0.000595,               0.000595,               0.000595
                     97,                0.47741,                0.45603,                0.86007,                0.53162,                0.88051,                0.63682,                0.54751,                0.61271,                 1.0042,                0.93664,               0.000496,               0.000496,               0.000496
                     98,                0.48616,                0.45187,                0.86126,                0.53154,                0.87498,                 0.6371,                0.54763,                0.61301,                 1.0135,                0.93714,               0.000397,               0.000397,               0.000397
                     99,                 0.4858,                0.44317,                0.86198,                0.53144,                0.87377,                0.63716,                0.54743,                0.61352,                  1.022,                0.93767,               0.000298,               0.000298,               0.000298
                    100,                0.48353,                0.42178,                0.85717,                0.53373,                0.86768,                0.63786,                0.54812,                0.61389,                 1.0292,                0.93813,               0.000199,               0.000199,               0.000199
